City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,port macquarie,-31.4333,152.9167,284.86,97,92,0.89,AU,1720031290
130,villazon,-22.0866,-65.5942,290.39,4,0,2.15,BO,1720031291
131,hwado,37.6525,127.3075,298.1,98,72,1.57,KR,1720031293
132,sao vicente,-23.9631,-46.3919,304.25,42,0,2.57,BR,1720031294
133,salinas,36.6777,-121.6555,306.23,61,0,3.09,US,1720031167
134,grand falls-windsor,48.9332,-55.6649,302.87,39,0,1.34,CA,1720031111
135,suwayr,30.1171,40.3893,305.67,13,0,4.5,SA,1720031299
136,tame,6.461,-71.73,301.32,71,90,1.48,CO,1720031300
137,puerto ayora,-0.7393,-90.3518,300.13,79,49,3.13,EC,1720031302
138,klyuchi,52.2667,79.1667,292.62,61,99,2.44,RU,1720031303
139,khandyga,62.6667,135.6,288.05,74,67,1.47,RU,1720031304
140,fortuna,40.5982,-124.1573,292.66,67,0,4.63,US,1720031306
141,crane,31.3974,-102.3501,308.35,32,0,6.93,US,1720031307
142,namtsy,62.7161,129.6658,288.25,57,61,5.78,RU,1720031309
143,olonkinbyen,70.9221,-8.7187,274.9,94,74,7.98,SJ,1720031310
144,necochea,-38.5473,-58.7368,282.45,49,97,3.3,AR,1720031031
145,hinthada,17.6333,95.4667,298.43,91,100,3.8,MM,1720031316
146,hawaiian paradise park,19.5933,-154.9731,299.14,85,0,0.0,US,1720031317
147,dwarka,22.2394,68.9678,302.29,84,100,8.5,IN,1720031319
148,suoyarvi,62.0833,32.35,285.78,96,100,4.15,RU,1720031320
149,guajara mirim,-10.7828,-65.3394,305.24,45,20,2.57,BR,1720031321
150,polyarnyy,69.1989,33.4478,282.63,86,98,6.0,RU,1720031323
151,agat village,13.3886,144.6585,300.67,91,0,3.6,GU,1720031324
152,hami,42.8,93.45,297.31,35,46,3.54,CN,1720031326
153,port lincoln,-34.7333,135.8667,284.83,73,30,6.53,AU,1720031327
154,iskateley,67.6803,53.1512,289.4,73,67,2.27,RU,1720031329
155,berdigestyakh,62.0989,126.6992,285.86,74,74,2.63,RU,1720031331
156,utrik,11.2278,169.8474,301.02,81,99,8.01,MH,1720031333
157,mareeba,-17.0,145.4333,291.73,88,56,1.08,AU,1720031334
158,richmond,37.5538,-77.4603,304.26,53,75,3.6,US,1720031043
159,jyvaskyla,62.2415,25.7209,291.34,75,85,0.51,FI,1720031337
160,punta arenas,-53.15,-70.9167,274.21,80,100,5.66,CL,1720031051
161,alice springs,-23.7,133.8833,271.9,93,0,2.57,AU,1720031340
162,sur,22.5667,59.5289,307.75,47,6,6.5,OM,1720031342
163,jacksonville,30.3322,-81.6556,308.72,63,0,4.63,US,1720030873
164,mount pearl,47.5166,-52.7813,290.07,85,75,5.14,CA,1720031345
165,vorgashor,67.5833,63.95,286.13,92,94,3.03,RU,1720031346
166,cill airne,52.05,-9.5167,288.18,72,75,3.6,IE,1720031347
167,djibo,14.1022,-1.6306,301.5,54,100,6.28,BF,1720031349
168,magdagachi,53.45,125.8,295.53,53,32,1.06,RU,1720031350
169,lompoc,34.6391,-120.4579,300.84,58,0,3.6,US,1720031352
170,tazacorte,28.629,-17.9293,294.9,86,75,6.17,ES,1720031353
171,el granada,37.5027,-122.4694,308.86,43,0,2.57,US,1720031355
172,gumrak,48.7826,44.3824,299.1,47,0,5.0,RU,1720031356
173,leninskoye,41.7589,69.3864,294.62,29,0,3.08,KZ,1720031358
174,luganville,-15.5333,167.1667,296.37,83,52,2.12,VU,1720031359
175,rovaniemi,66.5,25.7167,289.82,63,0,1.03,FI,1720031360
176,langzhong,31.5504,105.9938,294.56,89,94,0.37,CN,1720031362
177,usinsk,65.9939,57.5281,290.23,75,89,2.78,RU,1720031363
178,yellowknife,62.456,-114.3525,290.6,50,75,6.71,CA,1720031365
179,lihue,21.9789,-159.3672,298.92,76,20,5.14,US,1720031337
180,forbes,-33.3833,148.0167,277.55,89,2,2.89,AU,1720031368
181,carnarvon,-24.8667,113.6333,289.54,46,0,9.37,AU,1720031369
182,pangody,65.85,74.4859,289.46,52,100,6.79,RU,1720031370
183,tsiombe,-25.3,45.4833,294.4,60,31,4.75,MG,1720031372
184,hassi messaoud,31.6804,6.0729,311.07,16,0,2.06,DZ,1720031373
185,ketchikan,55.3422,-131.6461,288.34,67,100,4.12,US,1720031375
186,boden,65.8252,21.6886,289.15,90,85,1.73,SE,1720031376
187,tallahassee,30.4383,-84.2807,307.06,61,75,2.57,US,1720031197
188,prince rupert,54.3161,-130.3201,287.2,81,75,4.63,CA,1720031379
189,cold lake,54.4502,-110.2017,294.12,68,75,6.69,CA,1720031362
190,"laikit, laikit ii (dimembe)",1.4792,124.9735,295.62,100,40,2.06,ID,1720031383
191,alaghsas,17.0187,8.0168,309.09,30,20,3.09,NE,1720031385
192,balabac,7.9868,117.0645,300.12,87,99,3.47,PH,1720031386
193,magong,23.5654,119.5863,302.32,84,0,2.59,TW,1720031388
194,viedma,-40.8135,-62.9967,283.97,29,0,9.28,AR,1720031389
